filename,xmin,ymin,xmax,ymax,class
a (1).jpg,40,33,108,99,A
a (10).jpg,43,17,130,110,A
a (100).jpg,46,23,124,82,A
a (101).jpg,55,29,126,88,A
a (102).jpg,46,33,117,93,A
a (103).jpg,46,24,128,93,A
a (104).jpg,49,28,116,85,A
a (105).jpg,51,13,114,97,A
a (106).jpg,52,12,119,96,A
a (107).jpg,45,9,117,96,A
a (108).jpg,44,16,109,100,A
a (109).jpg,48,13,105,88,A
a (11).jpg,45,30,115,108,A
a (110).jpg,58,22,117,94,A
a (111).jpg,55,28,113,93,A
a (112).jpg,51,28,114,94,A
a (113).jpg,57,35,113,95,A
a (114).jpg,61,28,116,90,A
a (115).jpg,56,37,136,94,A
a (116).jpg,48,35,123,89,A
a (117).jpg,51,36,134,96,A
a (118).jpg,31,33,122,96,A
a (119).jpg,56,46,138,100,A
a (12).jpg,50,22,127,111,A
a (120).jpg,56,23,130,100,A
a (121).jpg,46,19,123,103,A
a (122).jpg,51,21,120,96,A
a (123).jpg,54,20,121,97,A
a (124).jpg,48,24,122,96,A
a (125).jpg,48,22,105,94,A
a (126).jpg,55,27,111,90,A
a (127).jpg,49,16,107,90,A
a (128).jpg,43,2,114,95,A
a (129).jpg,41,4,116,99,A
a (13).jpg,56,37,120,112,A
a (130).jpg,46,23,117,91,A
a (14).jpg,60,29,125,106,A
a (15).jpg,54,49,127,109,A
a (16).jpg,44,28,138,108,A
a (17).jpg,39,19,138,108,A
a (18).jpg,52,33,134,105,A
a (19).jpg,43,25,134,109,A
a (2).jpg,54,43,117,100,A
a (20).jpg,58,46,108,111,A
a (21).jpg,46,23,116,110,A
a (22).jpg,52,31,110,105,A
a (23).jpg,52,40,106,109,A
a (24).jpg,41,10,113,108,A
a (25).jpg,53,33,115,111,A
a (26).jpg,66,52,116,111,A
a (27).jpg,59,36,121,105,A
a (28).jpg,58,29,124,110,A
a (29).jpg,52,39,108,111,A
a (3).jpg,57,39,118,96,A
a (30).jpg,67,32,121,110,A
a (31).jpg,63,17,127,106,A
a (32).jpg,60,22,125,111,A
a (33).jpg,68,45,118,111,A
a (34).jpg,61,19,129,109,A
a (35).jpg,51,28,115,106,A
a (36).jpg,47,23,125,104,A
a (37).jpg,48,17,132,104,A
a (38).jpg,53,26,127,107,A
a (39).jpg,47,21,125,102,A
a (4).jpg,45,25,121,105,A
a (40).jpg,56,45,115,108,A
a (41).jpg,63,58,109,111,A
a (42).jpg,58,23,127,103,A
a (43).jpg,51,28,118,106,A
a (44).jpg,54,40,116,108,A
a (45).jpg,62,52,109,105,A
a (46).jpg,57,49,108,105,A
a (47).jpg,58,41,114,103,A
a (48).jpg,53,34,117,102,A
a (49).jpg,53,31,122,103,A
a (5).jpg,52,22,116,97,A
a (50).jpg,42,22,119,106,A
a (51).jpg,69,25,136,100,A
a (52).jpg,50,31,122,106,A
a (53).jpg,52,20,124,100,A
a (54).jpg,56,30,121,105,A
a (55).jpg,53,49,107,114,A
a (56).jpg,47,32,112,112,A
a (57).jpg,53,54,101,111,A
a (58).jpg,54,40,116,111,A
a (59).jpg,56,54,109,111,A
a (6).jpg,57,48,106,108,A
a (60).jpg,52,43,133,108,A
a (61).jpg,51,44,131,104,A
a (62).jpg,55,53,131,112,A
a (63).jpg,69,63,131,108,A
a (64).jpg,63,54,135,111,A
a (65).jpg,74,40,139,111,A
a (66).jpg,75,60,128,108,A
a (67).jpg,66,54,127,114,A
a (68).jpg,56,32,140,113,A
a (69).jpg,60,44,133,113,A
a (7).jpg,58,43,108,100,A
a (70).jpg,63,50,112,110,A
a (71).jpg,60,42,112,105,A
a (72).jpg,51,20,118,101,A
